ball,score,commentary
19.6,1,"Abbott to Mitchell,  1 run"
19.5,1,"Abbott to Jones,  1 run"
19.4,1,"Abbott to Mitchell,  1 run"
19.3,•,"Abbott to Mitchell, no run"
19.2,•,"Abbott to Mitchell, no run"
19.2,1w,"Abbott to Mitchell, 1 wide"
19.1,1,"Abbott to Jones,  1 run"
18.6,1,"Jordan to Jones,  1 run"
18.5,W,"Jordan to Vilas, OUT"
18.4,2,"Jordan to Vilas,  2 runs"
18.4,2nb,"Jordan to Vilas, (no ball)"
18.4,3nb,"Jordan to Mitchell, (no ball) 1 run"
18.3,1W,"Jordan to Mitchell, 1 run, OUT"
18.2,1,"Jordan to Wells,  1 run"
18.1,W,"Jordan to Croft, OUT"
17.6,•,"Sam Curran to Mitchell, no run"
17.5,4,"Sam Curran to Mitchell, FOUR runs"
17.4,2,"Sam Curran to Mitchell,  2 runs"
17.3,6,"Sam Curran to Mitchell,  SIX runs"
17.2,•,"Sam Curran to Mitchell, no run"
17.1,2,"Sam Curran to Mitchell,  2 runs"
16.6,•,"Jordan to Croft, no run"
16.5,1,"Jordan to Mitchell,  1 run"
16.4,1,"Jordan to Croft,  1 run"
16.3,•,"Jordan to Croft, no run"
16.2,1,"Jordan to Mitchell,  1 run"
16.1,1,"Jordan to Croft,  1 run"
15.6,1,"Sam Curran to Croft,  1 run"
15.5,1,"Sam Curran to Mitchell,  1 run"
15.4,1,"Sam Curran to Croft,  1 run"
15.4,1w,"Sam Curran to Croft, 1 wide"
15.3,1,"Sam Curran to Mitchell,  1 run"
15.2,1,"Sam Curran to Croft,  1 run"
15.1,1,"Sam Curran to Mitchell,  1 run"
14.6,•,"Abbott to Croft, no run"
14.5,1,"Abbott to Mitchell,  1 run"
14.4,2,"Abbott to Mitchell,  2 runs"
14.3,1,"Abbott to Croft,  1 run"
14.2,6,"Abbott to Croft,  SIX runs"
14.1,•,"Abbott to Croft, no run"
13.6,W,"Narine to Livingstone, OUT"
13.5,4,"Narine to Livingstone, FOUR runs"
13.4,•,"Narine to Livingstone, no run"
13.3,1,"Narine to Croft,  1 run"
13.2,4,"Narine to Croft, FOUR runs"
13.1,1,"Narine to Livingstone,  1 run"
12.6,1lb,"Jordan to Livingstone, 1 leg bye"
12.5,•,"Jordan to Livingstone, no run"
12.4,1,"Jordan to Croft,  1 run"
12.3,•,"Jordan to Croft, no run"
12.2,4,"Jordan to Croft, FOUR runs"
12.2,3n-l,"Jordan to Livingstone, (no ball) 1 leg bye"
12.1,3lb,"Jordan to Croft, 3 leg byes"
11.6,•,"Narine to Livingstone, no run"
11.5,1,"Narine to Croft,  1 run"
11.4,1,"Narine to Livingstone,  1 run"
11.3,•,"Narine to Livingstone, no run"
11.2,•,"Narine to Livingstone, no run"
11.1,•,"Narine to Livingstone, no run"
10.6,2,"Moriarty to Croft,  2 runs"
10.5,1,"Moriarty to Livingstone,  1 run"
10.4,W,"Moriarty to Buttler, OUT"
10.3,1,"Moriarty to Croft,  1 run"
10.2,1,"Moriarty to Buttler,  1 run"
10.1,1,"Moriarty to Croft,  1 run"
9.6,2,"Narine to Buttler,  2 runs"
9.5,•,"Narine to Buttler, no run"
9.4,1,"Narine to Croft,  1 run"
9.3,4lb,"Narine to Croft, 4 leg byes"
9.2,1,"Narine to Buttler,  1 run"
9.1,•,"Narine to Buttler, no run"
8.6,1,"Abbott to Buttler,  1 run"
8.5,•,"Abbott to Buttler, no run"
8.4,•,"Abbott to Buttler, no run"
8.3,1,"Abbott to Croft,  1 run"
8.2,•,"Abbott to Croft, no run"
8.1,4,"Abbott to Croft, FOUR runs"
7.6,•,"Sam Curran to Buttler, no run"
7.5,2,"Sam Curran to Buttler,  2 runs"
7.4,1,"Sam Curran to Croft,  1 run"
7.3,1,"Sam Curran to Buttler,  1 run"
7.2,•,"Sam Curran to Buttler, no run"
7.1,4b,"Sam Curran to Buttler, 4 byes"
6.6,1,"Narine to Buttler,  1 run"
6.5,•,"Narine to Buttler, no run"
6.4,1,"Narine to Croft,  1 run"
6.3,1,"Narine to Buttler,  1 run"
6.2,6,"Narine to Buttler,  SIX runs"
6.1,6,"Narine to Buttler,  SIX runs"
5.6,1,"Jordan to Buttler,  1 run"
5.5,•,"Jordan to Buttler, no run"
5.4,1,"Jordan to Croft,  1 run"
5.3,•,"Jordan to Croft, no run"
5.2,4,"Jordan to Croft, FOUR runs"
5.1,1,"Jordan to Buttler,  1 run"
4.6,4,"Moriarty to Croft, FOUR runs"
4.5,2,"Moriarty to Croft,  2 runs"
4.4,4,"Moriarty to Croft, FOUR runs"
4.3,•,"Moriarty to Croft, no run"
4.2,4,"Moriarty to Croft, FOUR runs"
4.1,•,"Moriarty to Croft, no run"
3.6,1,"Abbott to Croft,  1 run"
3.5,•,"Abbott to Croft, no run"
3.4,•,"Abbott to Croft, no run"
3.3,W,"Abbott to Salt, OUT"
3.2,4lb,"Abbott to Salt, 4 leg byes"
3.1,•,"Abbott to Salt, no run"
2.6,•,"Moriarty to Buttler, no run"
2.5,4,"Moriarty to Buttler, FOUR runs"
2.4,1,"Moriarty to Salt,  1 run"
2.3,1,"Moriarty to Buttler,  1 run"
2.2,1,"Moriarty to Salt,  1 run"
2.1,1,"Moriarty to Buttler,  1 run"
1.6,•,"Sam Curran to Salt, no run"
1.5,1,"Sam Curran to Buttler,  1 run"
1.4,•,"Sam Curran to Buttler, no run"
1.3,4,"Sam Curran to Buttler, FOUR runs"
1.2,1,"Sam Curran to Salt,  1 run"
1.1,4,"Sam Curran to Salt, FOUR runs"
0.6,•,"Jacks to Buttler, no run"
0.5,6,"Jacks to Buttler,  SIX runs"
0.4,1,"Jacks to Salt,  1 run"
0.3,4,"Jacks to Salt, FOUR runs"
0.2,1,"Jacks to Buttler,  1 run"
0.1,1,"Jacks to Salt,  1 run"
