ball,score,commentary
19.6,2,"Bailey to Jordan,  2 runs"
19.5,6,"Bailey to Jordan,  SIX runs"
19.4,1,"Bailey to Narine,  1 run"
19.3,1,"Bailey to Jordan,  1 run"
19.2,1,"Bailey to Narine,  1 run"
19.1,W,"Bailey to Jordan, OUT"
18.6,4,"Mitchell to Overton, FOUR runs"
18.5,2,"Mitchell to Overton,  2 runs"
18.4,2,"Mitchell to Overton,  2 runs"
18.3,4,"Mitchell to Overton, FOUR runs"
18.2,1,"Mitchell to Jordan,  1 run"
18.1,1,"Mitchell to Overton,  1 run"
17.6,1,"Bailey to Overton,  1 run"
17.5,1,"Bailey to Jordan,  1 run"
17.4,1,"Bailey to Overton,  1 run"
17.3,1,"Bailey to Jordan,  1 run"
17.2,W,"Bailey to Sam Curran, OUT"
17.1,•,"Bailey to Sam Curran, no run"
16.6,1,"Wells to Sam Curran,  1 run"
16.5,4,"Wells to Sam Curran, FOUR runs"
16.4,2,"Wells to Sam Curran,  2 runs"
16.3,1,"Wells to Overton,  1 run"
16.2,•,"Wells to Overton, no run"
16.1,•,"Wells to Overton, no run"
15.6,•,"Mitchell to Sam Curran, no run"
15.5,1,"Mitchell to Overton,  1 run"
15.4,4,"Mitchell to Overton, FOUR runs"
15.3,1,"Mitchell to Sam Curran,  1 run"
15.2,4,"Mitchell to Sam Curran, FOUR runs"
15.1,•,"Mitchell to Sam Curran, no run"
14.6,W,"Wood to Roy, OUT"
14.5,2,"Wood to Roy,  2 runs"
14.5,2nb,"Wood to Roy, (no ball)"
14.4,2,"Wood to Roy,  2 runs"
14.3,1,"Wood to Sam Curran,  1 run"
14.2,1,"Wood to Roy,  1 run"
14.1,1,"Wood to Sam Curran,  1 run"
13.6,2,"Livingstone to Roy,  2 runs"
13.5,6,"Livingstone to Roy,  SIX runs"
13.4,•,"Livingstone to Roy, no run"
13.3,•,"Livingstone to Roy, no run"
13.2,1,"Livingstone to Sam Curran,  1 run"
13.1,3,"Livingstone to Roy,  3 runs"
12.6,•,"Hartley to Sam Curran, no run"
12.5,1,"Hartley to Roy,  1 run"
12.4,2,"Hartley to Roy,  2 runs"
12.3,1,"Hartley to Sam Curran,  1 run"
12.2,1,"Hartley to Roy,  1 run"
12.1,4,"Hartley to Roy, FOUR runs"
11.6,1,"Livingstone to Roy,  1 run"
11.5,2,"Livingstone to Roy,  2 runs"
11.4,2,"Livingstone to Roy,  2 runs"
11.3,1,"Livingstone to Sam Curran,  1 run"
11.2,W,"Livingstone to Evans, OUT"
11.1,4,"Livingstone to Evans, FOUR runs"
10.6,•,"Wells to Roy, no run"
10.5,4,"Wells to Roy, FOUR runs"
10.4,1,"Wells to Evans,  1 run"
10.3,•,"Wells to Evans, no run"
10.2,1,"Wells to Roy,  1 run"
10.1,1,"Wells to Evans,  1 run"
9.6,1,"Mitchell to Evans,  1 run"
9.5,4,"Mitchell to Evans, FOUR runs"
9.4,1,"Mitchell to Roy,  1 run"
9.3,4,"Mitchell to Roy, FOUR runs"
9.2,1,"Mitchell to Evans,  1 run"
9.1,1,"Mitchell to Roy,  1 run"
8.6,2,"Wells to Evans,  2 runs"
8.5,1,"Wells to Roy,  1 run"
8.4,•,"Wells to Roy, no run"
8.3,3,"Wells to Evans,  3 runs"
8.2,•,"Wells to Evans, no run"
8.1,2,"Wells to Evans,  2 runs"
7.6,4,"Hartley to Roy, FOUR runs"
7.5,1,"Hartley to Evans,  1 run"
7.4,4,"Hartley to Evans, FOUR runs"
7.3,1,"Hartley to Roy,  1 run"
7.2,1,"Hartley to Evans,  1 run"
7.1,•,"Hartley to Evans, no run"
6.6,1,"Wells to Evans,  1 run"
6.5,1,"Wells to Roy,  1 run"
6.4,1,"Wells to Evans,  1 run"
6.3,•,"Wells to Evans, no run"
6.2,1lb,"Wells to Roy, 1 leg bye"
6.1,•,"Wells to Roy, no run"
5.6,1,"Mitchell to Roy,  1 run"
5.5,1,"Mitchell to Evans,  1 run"
5.4,4,"Mitchell to Evans, FOUR runs"
5.3,•,"Mitchell to Evans, no run"
5.2,1,"Mitchell to Roy,  1 run"
5.2,1w,"Mitchell to Roy, 1 wide"
5.1,•,"Mitchell to Roy, no run"
4.6,•,"Wood to Evans, no run"
4.5,4,"Wood to Evans, FOUR runs"
4.5,6nb,"Wood to Evans, (no ball) FOUR runs"
4.4,6,"Wood to Evans,  SIX runs"
4.3,1,"Wood to Roy,  1 run"
4.2,1,"Wood to Evans,  1 run"
4.1,•,"Wood to Evans, no run"
3.6,W,"Bailey to Jacks, OUT"
3.5,1,"Bailey to Evans,  1 run"
3.4,2,"Bailey to Evans,  2 runs"
3.3,6,"Bailey to Evans,  SIX runs"
3.2,2,"Bailey to Evans,  2 runs"
3.1,6,"Bailey to Evans,  SIX runs"
2.6,1,"Wood to Evans,  1 run"
2.5,•,"Wood to Evans, no run"
2.4,1,"Wood to Jacks,  1 run"
2.3,•,"Wood to Jacks, no run"
2.2,•,"Wood to Jacks, no run"
2.1,1,"Wood to Evans,  1 run"
1.6,1,"Bailey to Evans,  1 run"
1.5,1,"Bailey to Jacks,  1 run"
1.4,1,"Bailey to Evans,  1 run"
1.3,•,"Bailey to Evans, no run"
1.2,2,"Bailey to Evans,  2 runs"
1.1,•,"Bailey to Evans, no run"
0.6,4,"Wood to Jacks, FOUR runs"
0.6,1w,"Wood to Jacks, 1 wide"
0.5,2,"Wood to Jacks,  2 runs"
0.4,•,"Wood to Jacks, no run"
0.3,•,"Wood to Jacks, no run"
0.2,•,"Wood to Jacks, no run"
0.1,•,"Wood to Jacks, no run"
