Team,Over,Ball,Ball ID,Runs,Wickets
LAN,0,1,0,1,0
LAN,0,2,1,1,0
LAN,0,3,2,4,0
LAN,0,4,3,1,0
LAN,0,5,4,6,0
LAN,0,6,5,0,0
LAN,1,1,6,4,0
LAN,1,2,7,1,0
LAN,1,3,8,4,0
LAN,1,4,9,0,0
LAN,1,5,10,1,0
LAN,1,6,11,0,0
LAN,2,1,12,1,0
LAN,2,2,13,1,0
LAN,2,3,14,1,0
LAN,2,4,15,1,0
LAN,2,5,16,4,0
LAN,2,6,17,0,0
LAN,3,1,18,0,0
LAN,3,2,19,4,0
LAN,3,3,20,0,1
LAN,3,4,21,0,0
LAN,3,5,22,0,0
LAN,3,6,23,1,0
LAN,4,1,24,0,0
LAN,4,2,25,4,0
LAN,4,3,26,0,0
LAN,4,4,27,4,0
LAN,4,5,28,2,0
LAN,4,6,29,4,0
LAN,5,1,30,1,0
LAN,5,2,31,4,0
LAN,5,3,32,0,0
LAN,5,4,33,1,0
LAN,5,5,34,0,0
LAN,5,6,35,1,0
LAN,6,1,36,6,0
LAN,6,2,37,6,0
LAN,6,3,38,1,0
LAN,6,4,39,1,0
LAN,6,5,40,0,0
LAN,6,6,41,1,0
LAN,7,1,42,4,0
LAN,7,2,43,0,0
LAN,7,3,44,1,0
LAN,7,4,45,1,0
LAN,7,5,46,2,0
LAN,7,6,47,0,0
LAN,8,1,48,4,0
LAN,8,2,49,0,0
LAN,8,3,50,1,0
LAN,8,4,51,0,0
LAN,8,5,52,0,0
LAN,8,6,53,1,0
LAN,9,1,54,0,0
LAN,9,2,55,1,0
LAN,9,3,56,4,0
LAN,9,4,57,1,0
LAN,9,5,58,0,0
LAN,9,6,59,2,0
LAN,10,1,60,1,0
LAN,10,2,61,1,0
LAN,10,3,62,1,0
LAN,10,4,63,0,1
LAN,10,5,64,1,0
LAN,10,6,65,2,0
LAN,11,1,66,0,0
LAN,11,2,67,0,0
LAN,11,3,68,0,0
LAN,11,4,69,1,0
LAN,11,5,70,1,0
LAN,11,6,71,0,0
LAN,12,1,72,3,0
LAN,12,2,73,3,0
LAN,12,2,74,4,0
LAN,12,3,75,0,0
LAN,12,4,76,1,0
LAN,12,5,77,0,0
LAN,12,6,78,1,0
LAN,13,1,79,1,0
LAN,13,2,80,4,0
LAN,13,3,81,1,0
LAN,13,4,82,0,0
LAN,13,5,83,4,0
LAN,13,6,84,0,1
LAN,14,1,85,0,0
LAN,14,2,86,6,0
LAN,14,3,87,1,0
LAN,14,4,88,2,0
LAN,14,5,89,1,0
LAN,14,6,90,0,0
LAN,15,1,91,1,0
LAN,15,2,92,1,0
LAN,15,3,93,1,0
LAN,15,4,94,1,0
LAN,15,4,95,1,0
LAN,15,5,96,1,0
LAN,15,6,97,1,0
LAN,16,1,98,1,0
LAN,16,2,99,1,0
LAN,16,3,100,0,0
LAN,16,4,101,1,0
LAN,16,5,102,1,0
LAN,16,6,103,0,0
LAN,17,1,104,2,0
LAN,17,2,105,0,0
LAN,17,3,106,6,0
LAN,17,4,107,2,0
LAN,17,5,108,4,0
LAN,17,6,109,0,0
LAN,18,1,110,0,1
LAN,18,2,111,1,0
LAN,18,3,112,1,1
LAN,18,4,113,3,0
LAN,18,4,114,2,0
LAN,18,4,115,2,0
LAN,18,5,116,0,1
LAN,18,6,117,1,0
LAN,19,1,118,1,0
LAN,19,2,119,1,0
LAN,19,2,120,0,0
LAN,19,3,121,0,0
LAN,19,4,122,1,0
LAN,19,5,123,1,0
LAN,19,6,124,1,0
SUR,0,1,0,0,0
SUR,0,2,1,0,0
SUR,0,3,2,0,0
SUR,0,4,3,0,0
SUR,0,5,4,2,0
SUR,0,6,5,1,0
SUR,0,6,6,4,0
SUR,1,1,7,0,0
SUR,1,2,8,2,0
SUR,1,3,9,0,0
SUR,1,4,10,1,0
SUR,1,5,11,1,0
SUR,1,6,12,1,0
SUR,2,1,13,1,0
SUR,2,2,14,0,0
SUR,2,3,15,0,0
SUR,2,4,16,1,0
SUR,2,5,17,0,0
SUR,2,6,18,1,0
SUR,3,1,19,6,0
SUR,3,2,20,2,0
SUR,3,3,21,6,0
SUR,3,4,22,2,0
SUR,3,5,23,1,0
SUR,3,6,24,0,1
SUR,4,1,25,0,0
SUR,4,2,26,1,0
SUR,4,3,27,1,0
SUR,4,4,28,6,0
SUR,4,5,29,6,0
SUR,4,5,30,4,0
SUR,4,6,31,0,0
SUR,5,1,32,0,0
SUR,5,2,33,1,0
SUR,5,2,34,1,0
SUR,5,3,35,0,0
SUR,5,4,36,4,0
SUR,5,5,37,1,0
SUR,5,6,38,1,0
SUR,6,1,39,0,0
SUR,6,2,40,1,0
SUR,6,3,41,0,0
SUR,6,4,42,1,0
SUR,6,5,43,1,0
SUR,6,6,44,1,0
SUR,7,1,45,0,0
SUR,7,2,46,1,0
SUR,7,3,47,1,0
SUR,7,4,48,4,0
SUR,7,5,49,1,0
SUR,7,6,50,4,0
SUR,8,1,51,2,0
SUR,8,2,52,0,0
SUR,8,3,53,3,0
SUR,8,4,54,0,0
SUR,8,5,55,1,0
SUR,8,6,56,2,0
SUR,9,1,57,1,0
SUR,9,2,58,1,0
SUR,9,3,59,4,0
SUR,9,4,60,1,0
SUR,9,5,61,4,0
SUR,9,6,62,1,0
SUR,10,1,63,1,0
SUR,10,2,64,1,0
SUR,10,3,65,0,0
SUR,10,4,66,1,0
SUR,10,5,67,4,0
SUR,10,6,68,0,0
SUR,11,1,69,4,0
SUR,11,2,70,0,1
SUR,11,3,71,1,0
SUR,11,4,72,2,0
SUR,11,5,73,2,0
SUR,11,6,74,1,0
SUR,12,1,75,4,0
SUR,12,2,76,1,0
SUR,12,3,77,1,0
SUR,12,4,78,2,0
SUR,12,5,79,1,0
SUR,12,6,80,0,0
SUR,13,1,81,3,0
SUR,13,2,82,1,0
SUR,13,3,83,0,0
SUR,13,4,84,0,0
SUR,13,5,85,6,0
SUR,13,6,86,2,0
SUR,14,1,87,1,0
SUR,14,2,88,1,0
SUR,14,3,89,1,0
SUR,14,4,90,2,0
SUR,14,5,91,2,0
SUR,14,5,92,2,0
SUR,14,6,93,0,1
SUR,15,1,94,0,0
SUR,15,2,95,4,0
SUR,15,3,96,1,0
SUR,15,4,97,4,0
SUR,15,5,98,1,0
SUR,15,6,99,0,0
SUR,16,1,100,0,0
SUR,16,2,101,0,0
SUR,16,3,102,1,0
SUR,16,4,103,2,0
SUR,16,5,104,4,0
SUR,16,6,105,1,0
SUR,17,1,106,0,0
