ball,score,commentary
19.6,2,"Vyshak to Abdul Samad,  2 runshoisted out to deep midwicket, and a terrible drop! It should have been a sitter, but Chauhan let it through his fingers and inadvertently kicked it away for more runs... yikes, a fitting end to a sorry afternoon in the field!"
19.6,1w,"Vyshak to Abdul Samad, 1 wideslower ball, not a bad effort, but given as a wide. RCB review once more. To no avail"
19.5,6,"Vyshak to Abdul Samad,  SIX runsshort, pulled away, and parried over the rope for six! Another outright record, 22 sixes! Brought up with a flat pivoting slap over midwicket!"
19.4,•,"Vyshak to Abdul Samad, no runa rare dot, a swing and a miss"
19.3,1,"Vyshak to Markram,  1 runguided for the single into the covers, and SRH break their own record for highest IPL total!"
19.2,6,"Vyshak to Markram,  SIX runsbouncer, and belted massively over deep midwicket! They've equalled the season's best! And that's the 21st six of the night too!"
19.1,4,"Vyshak to Markram, FOUR runsyorker length, but leg-sided, an easy deflection behind square!"
19.1,1w,"Vyshak to Markram, 1 wideslow bouncer, RCB review the call of wide, but that's way over the helmet"
18.6,4,"Topley to Abdul Samad, FOUR runsswished off the top-edge, through deep third!"
18.5,6,"Topley to Abdul Samad,  SIX runsanother full-toss, too straight! Samad samashes that over the sightscreen! Still a ball to come but these are some gruesome figures for Topley"
18.4,6,"Topley to Abdul Samad,  SIX runsmassive! Thumps the top of the roof and plops into the stands. In the slot, full length on the off stump. Just a golf-swing through the line!"
18.3,4,"Topley to Abdul Samad, FOUR runspace on, fuller length, width on the angle across the batter. Smears a firm drive through the covers to get the score moving again"
18.2,4,"Topley to Abdul Samad, FOUR runssmashed across the line, into the gap on the leg side. Out of the back of the hand, checked his stroke well, and dispatched it"
18.1,1,"Topley to Markram,  1 runheaved to the leg-side, can't connect properly"
17.6,4,"Yash Dayal to Abdul Samad, FOUR runswidth, guided through deep third! Patidar dives but can't save the boundary. But all things considered, that's a fine over. All but killed the 300 dream... but is SRH's season's best 277 still attainable?"
17.5,1,"Yash Dayal to Markram,  1 runfull toss, round the wicket, Markram is surprised as he's cramped on the back foot. This is almost a good over now"
17.4,1,"Yash Dayal to Abdul Samad,  1 runpace off, back of a length on the wide line, back-of-the-hand as well. Samad can't time it as he takes the single into the covers"
17.3,1,"Yash Dayal to Markram,  1 runseeking the yorker from round the wicket, it comes out as a low full-toss but tucked to the on-side regardless"
17.2,•,"Yash Dayal to Markram, no runanother wide yorker, slammed into the covers"
17.2,1nb,"Yash Dayal to Markram, (no ball)another wide full-toss, another wicket!... or not! Topley at short third dives well to intercept low to the ground off a toe-end, but the siren informs the Chinnaswamy that they can shelve their ecstacy!"
17.1,2,"Yash Dayal to Markram,  2 runsdriven along the ground to deep cover, Patidar times his dive and juggles the ball well to save the boundary"
