Team,Over,Ball,Ball ID,Runs,Wickets
RCB,0,1,0,1,0
RCB,0,2,1,4,0
RCB,0,3,2,0,0
RCB,0,4,3,1,0
RCB,0,5,4,0,0
RCB,0,6,5,4,0
RCB,1,1,6,1,0
RCB,1,2,7,0,0
RCB,1,3,8,0,0
RCB,1,4,9,4,0
RCB,1,5,10,6,0
RCB,1,6,11,0,0
RCB,2,1,12,4,0
RCB,2,2,13,0,0
RCB,2,3,14,6,0
RCB,2,4,15,1,0
RCB,2,5,16,1,0
RCB,2,6,17,6,0
RCB,3,1,18,4,0
RCB,3,2,19,4,0
RCB,3,3,20,1,0
RCB,3,4,21,0,0
RCB,3,5,22,4,0
RCB,3,6,23,4,0
RCB,4,1,24,1,0
RCB,4,2,25,1,0
RCB,4,3,26,4,0
RCB,4,4,27,0,0
RCB,4,5,28,2,0
RCB,4,6,29,6,0
RCB,5,1,30,0,0
RCB,5,2,31,4,0
RCB,5,3,32,0,0
RCB,5,4,33,1,0
RCB,5,5,34,0,0
RCB,5,6,35,4,0
RCB,6,1,36,1,0
RCB,6,2,37,0,1
RCB,6,3,38,1,0
RCB,6,4,39,1,0
RCB,6,5,40,1,0
RCB,6,6,41,1,0
RCB,7,1,42,6,0
RCB,7,2,43,1,0
RCB,7,3,44,4,0
RCB,7,4,45,1,0
RCB,7,5,46,4,0
RCB,7,6,47,0,1
RCB,8,1,48,1,0
RCB,8,2,49,1,0
RCB,8,3,50,0,0
RCB,8,4,51,6,0
RCB,8,5,52,1,0
RCB,8,5,53,2,0
RCB,8,6,54,0,1
RCB,9,1,55,4,0
RCB,9,2,56,6,0
RCB,9,3,57,0,1
RCB,9,4,58,0,0
RCB,9,5,59,1,0
RCB,9,6,60,0,1
RCB,10,1,61,0,0
RCB,10,2,62,1,0
RCB,10,3,63,0,0
RCB,10,4,64,1,0
RCB,10,4,65,1,0
RCB,10,5,66,1,0
RCB,10,6,67,1,0
RCB,11,1,68,1,0
RCB,11,2,69,1,0
RCB,11,2,70,1,0
RCB,11,3,71,1,0
RCB,11,3,72,1,0
RCB,11,3,73,1,0
RCB,11,4,74,0,0
RCB,11,5,75,1,0
RCB,11,6,76,1,0
RCB,12,1,77,6,0
RCB,12,2,78,6,0
RCB,12,3,79,1,0
RCB,12,4,80,6,0
RCB,12,5,81,1,0
RCB,12,5,82,4,0
RCB,12,6,83,1,0
RCB,13,1,84,4,0
RCB,13,2,85,4,0
RCB,13,3,86,1,0
RCB,13,4,87,1,0
RCB,13,5,88,6,0
RCB,13,6,89,1,0
RCB,13,6,90,4,0
RCB,14,1,91,0,1
RCB,14,2,92,0,0
RCB,14,3,93,1,0
RCB,14,4,94,1,0
RCB,14,5,95,0,0
RCB,14,6,96,4,0
RCB,15,1,97,6,0
RCB,15,2,98,2,0
RCB,15,3,99,0,0
RCB,15,4,100,1,0
RCB,15,4,101,1,0
RCB,15,5,102,1,0
RCB,15,6,103,1,0
RCB,16,1,104,6,0
RCB,16,2,105,2,0
RCB,16,3,106,0,0
RCB,16,4,107,1,0
RCB,16,5,108,1,0
RCB,16,6,109,1,0
RCB,16,6,110,6,0
RCB,17,1,111,1,0
RCB,17,1,112,0,0
RCB,17,2,113,1,0
RCB,17,3,114,1,0
RCB,17,4,115,1,0
RCB,17,5,116,1,0
RCB,17,5,117,1,0
RCB,17,5,118,6,0
RCB,17,6,119,1,0
RCB,17,6,120,1,0
RCB,18,1,121,6,0
RCB,18,2,122,2,0
RCB,18,3,123,4,0
RCB,18,4,124,2,0
RCB,18,5,125,0,1
RCB,18,6,126,0,0
RCB,19,1,127,4,0
RCB,19,2,128,4,0
RCB,19,3,129,1,0
RCB,19,4,130,1,0
RCB,19,5,131,4,0
RCB,19,6,132,4,0
SRH,0,1,0,0,0
SRH,0,2,1,0,0
SRH,0,3,2,2,0
SRH,0,4,3,4,0
SRH,0,5,4,1,0
SRH,0,6,5,0,0
SRH,1,1,6,1,0
SRH,1,2,7,4,0
SRH,1,3,8,6,0
SRH,1,4,9,2,0
SRH,1,5,10,1,0
SRH,1,6,11,6,0
SRH,2,1,12,1,0
SRH,2,2,13,0,0
SRH,2,3,14,1,0
SRH,2,4,15,0,0
SRH,2,5,16,1,0
SRH,2,6,17,1,0
SRH,3,1,18,1,0
SRH,3,1,19,4,0
SRH,3,2,20,0,0
SRH,3,3,21,1,0
SRH,3,4,22,0,0
SRH,3,5,23,0,0
SRH,3,6,24,1,0
SRH,4,1,25,0,0
SRH,4,2,26,6,0
SRH,4,3,27,6,0
SRH,4,4,28,1,0
SRH,4,5,29,1,0
SRH,4,6,30,4,0
SRH,5,1,31,1,0
SRH,5,2,32,6,0
SRH,5,3,33,2,0
SRH,5,4,34,6,0
SRH,5,5,35,4,0
SRH,5,6,36,1,0
SRH,6,1,37,2,0
