,Team,Over,Ball,Ball ID,score,Runs,bowler,on_strike_batter,commentary,fow,Batting_Order_Strike,out_batsman,Batting_Order_Out,partnership_key,Batting_Order_NonStrike,non_strike_batter,partnership_key_name,nb_runs,wide_runs,leg_bye_flag,bye_flag,leg_bye_runs,bye_runs,extras_runs,Bat_Runs
0,Lancashire,0,1,0,1,1,Jacks,Salt,"Jacks to Salt,  1 run",,1,,,"(1, 2)",2,Buttler,"('Salt', 'Buttler')",0,0,0,0,0,0,0,1
1,Lancashire,0,2,1,1,1,Jacks,Buttler,"Jacks to Buttler,  1 run",,2,,,"(1, 2)",1,Salt,"('Salt', 'Buttler')",0,0,0,0,0,0,0,1
2,Lancashire,0,3,2,4,4,Jacks,Salt,"Jacks to Salt, FOUR runs",,1,,,"(1, 2)",2,Buttler,"('Salt', 'Buttler')",0,0,0,0,0,0,0,4
3,Lancashire,0,4,3,1,1,Jacks,Salt,"Jacks to Salt,  1 run",,1,,,"(1, 2)",2,Buttler,"('Salt', 'Buttler')",0,0,0,0,0,0,0,1
4,Lancashire,0,5,4,6,6,Jacks,Buttler,"Jacks to Buttler,  SIX runs",,2,,,"(1, 2)",1,Salt,"('Salt', 'Buttler')",0,0,0,0,0,0,0,6
5,Lancashire,0,6,5,0,0,Jacks,Buttler,"Jacks to Buttler, no run",,2,,,"(1, 2)",1,Salt,"('Salt', 'Buttler')",0,0,0,0,0,0,0,0
6,Lancashire,1,1,6,4,4,Sam Curran,Salt,"Sam Curran to Salt, FOUR runs",,1,,,"(1, 2)",2,Buttler,"('Salt', 'Buttler')",0,0,0,0,0,0,0,4
7,Lancashire,1,2,7,1,1,Sam Curran,Salt,"Sam Curran to Salt,  1 run",,1,,,"(1, 2)",2,Buttler,"('Salt', 'Buttler')",0,0,0,0,0,0,0,1
8,Lancashire,1,3,8,4,4,Sam Curran,Buttler,"Sam Curran to Buttler, FOUR runs",,2,,,"(1, 2)",1,Salt,"('Salt', 'Buttler')",0,0,0,0,0,0,0,4
9,Lancashire,1,4,9,0,0,Sam Curran,Buttler,"Sam Curran to Buttler, no run",,2,,,"(1, 2)",1,Salt,"('Salt', 'Buttler')",0,0,0,0,0,0,0,0
10,Lancashire,1,5,10,1,1,Sam Curran,Buttler,"Sam Curran to Buttler,  1 run",,2,,,"(1, 2)",1,Salt,"('Salt', 'Buttler')",0,0,0,0,0,0,0,1
11,Lancashire,1,6,11,0,0,Sam Curran,Salt,"Sam Curran to Salt, no run",,1,,,"(1, 2)",2,Buttler,"('Salt', 'Buttler')",0,0,0,0,0,0,0,0
12,Lancashire,2,1,12,1,1,Moriarty,Buttler,"Moriarty to Buttler,  1 run",,2,,,"(1, 2)",1,Salt,"('Salt', 'Buttler')",0,0,0,0,0,0,0,1
13,Lancashire,2,2,13,1,1,Moriarty,Salt,"Moriarty to Salt,  1 run",,1,,,"(1, 2)",2,Buttler,"('Salt', 'Buttler')",0,0,0,0,0,0,0,1
14,Lancashire,2,3,14,1,1,Moriarty,Buttler,"Moriarty to Buttler,  1 run",,2,,,"(1, 2)",1,Salt,"('Salt', 'Buttler')",0,0,0,0,0,0,0,1
15,Lancashire,2,4,15,1,1,Moriarty,Salt,"Moriarty to Salt,  1 run",,1,,,"(1, 2)",2,Buttler,"('Salt', 'Buttler')",0,0,0,0,0,0,0,1
16,Lancashire,2,5,16,4,4,Moriarty,Buttler,"Moriarty to Buttler, FOUR runs",,2,,,"(1, 2)",1,Salt,"('Salt', 'Buttler')",0,0,0,0,0,0,0,4
17,Lancashire,2,6,17,0,0,Moriarty,Buttler,"Moriarty to Buttler, no run",,2,,,"(1, 2)",1,Salt,"('Salt', 'Buttler')",0,0,0,0,0,0,0,0
